mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_tfidf__max_df,param_tfidf__min_df,param_tfidf__ngram_range,param_tfidf__stop_words,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
1.2827157974243164,0.0,0.045600175857543945,0.0,0.5,0.9,1,"(1, 1)",,"{'svm__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8055030142138155,0.8055030142138155,0.0,12
1.104670763015747,0.0,0.050008296966552734,0.0,0.5,0.9,1,"(1, 1)",english,"{'svm__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8077856571007256,0.8077856571007256,0.0,10
3.5803287029266357,0.0,0.08567070960998535,0.0,0.5,0.9,1,"(1, 2)",,"{'svm__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.8333318000190131,0.8333318000190131,0.0,1
2.938554525375366,0.0,0.05608510971069336,0.0,0.5,0.9,1,"(1, 2)",english,"{'svm__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.8262101494386742,0.8262101494386742,0.0,5
0.7817189693450928,0.0,0.05029773712158203,0.0,0.5,0.9,3,"(1, 1)",,"{'svm__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.7784573186552504,0.7784573186552504,0.0,21
0.812612771987915,0.0,0.052881479263305664,0.0,0.5,0.9,3,"(1, 1)",english,"{'svm__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.7678528660894911,0.7678528660894911,0.0,24
2.3242616653442383,0.0,0.08548831939697266,0.0,0.5,0.9,3,"(1, 2)",,"{'svm__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': None}",0.79386585776879,0.79386585776879,0.0,15
1.2105445861816406,0.0,0.060982704162597656,0.0,0.5,0.9,3,"(1, 2)",english,"{'svm__C': 0.5, 'tfidf__max_df': 0.9, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2), 'tfidf__stop_words': 'english'}",0.7863250747769925,0.7863250747769925,0.0,16
1.7891247272491455,0.0,0.05500984191894531,0.0,1.0,0.9,1,"(1, 1)",,"{'svm__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': None}",0.8238294665542725,0.8238294665542725,0.0,7
1.5904381275177002,0.0,0.04923295974731445,0.0,1.0,0.9,1,"(1, 1)",english,"{'svm__C': 1.0, 'tfidf__max_df': 0.9, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 1), 'tfidf__stop_words': 'english'}",0.8182492077169429,0.8182492077169429,0.0,8
